epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.036002,0.003613,0.039614,0.015151,0.018845,0.0312,45.4
2,0.012897,0.004437,0.017334,0.012065,0.016991,0.0234,45.2
3,0.011228,0.005078,0.016306,0.010976,0.016944,0.0234,46.4
4,0.010433,0.005306,0.015739,0.010479,0.015878,0.0234,46.2
5,0.009969,0.00531,0.01528,0.009992,0.015022,0.0234,45.0
6,0.009767,0.00537,0.015137,0.009851,0.015339,0.0234,44.8
7,0.009638,0.005516,0.015154,0.010049,0.015339,0.0234,45.1
8,0.009249,0.005663,0.014912,0.008559,0.013976,0.0312,45.3
9,0.006688,0.003503,0.010191,0.00589,0.008324,0.0625,44.5
10,0.005432,0.00249,0.007922,0.005536,0.008242,0.0625,44.6
11,0.005234,0.002804,0.008038,0.005371,0.008215,0.0625,45.3
12,0.005158,0.003057,0.008215,0.005494,0.008654,0.0625,44.5
13,0.005095,0.003081,0.008176,0.005187,0.007564,0.0703,44.1
14,0.004873,0.002294,0.007166,0.005012,0.007365,0.0703,44.0
15,0.004781,0.002322,0.007103,0.005004,0.007401,0.0703,45.1
16,0.004645,0.002075,0.00672,0.004792,0.007035,0.0859,44.6
17,0.004514,0.001952,0.006466,0.004676,0.006923,0.0859,43.7
18,0.004419,0.001989,0.006408,0.004604,0.007102,0.0859,44.2
19,0.004369,0.001929,0.006298,0.004654,0.007109,0.0859,45.4
20,0.004342,0.001952,0.006294,0.004588,0.007049,0.0938,45.6
21,0.004181,0.001564,0.005745,0.004316,0.005942,0.1016,45.5
22,0.004048,0.001292,0.005339,0.004185,0.005486,0.1172,45.9
23,0.003854,0.001074,0.004927,0.004008,0.005111,0.125,46.0
24,0.003737,0.001004,0.004741,0.003862,0.004936,0.1328,45.8
25,0.003676,0.000966,0.004642,0.003834,0.004871,0.1406,46.0
26,0.00357,0.000954,0.004524,0.003673,0.00473,0.1484,44.0
27,0.003446,0.000936,0.004381,0.003565,0.004583,0.1562,44.1
28,0.003359,0.000909,0.004268,0.003519,0.004558,0.1562,44.5
29,0.003275,0.000918,0.004193,0.003456,0.004489,0.1562,44.4
30,0.003242,0.000937,0.004179,0.003418,0.004499,0.1562,43.5
31,0.003211,0.000956,0.004166,0.003404,0.004567,0.1562,45.0
32,0.003185,0.000967,0.004152,0.003354,0.004438,0.1562,44.5
33,0.003159,0.000977,0.004137,0.003311,0.004372,0.1562,44.1
34,0.003146,0.000986,0.004132,0.003291,0.004451,0.1562,43.7
35,0.003123,0.001003,0.004126,0.003303,0.004437,0.1562,44.0
36,0.003116,0.001012,0.004128,0.003285,0.004476,0.1562,44.0
37,0.003109,0.001028,0.004136,0.00333,0.004519,0.1562,44.4
38,0.003093,0.001036,0.004129,0.003434,0.004645,0.1562,44.0
39,0.00307,0.001033,0.004103,0.00323,0.004288,0.1641,44.0
40,0.003038,0.000993,0.00403,0.003238,0.004358,0.1719,45.3
41,0.002966,0.001057,0.004024,0.003062,0.004284,0.1797,45.0
42,0.002869,0.001149,0.004018,0.003063,0.004359,0.1797,44.1
43,0.00285,0.001216,0.004065,0.003002,0.004317,0.1797,44.6
44,0.002837,0.001281,0.004119,0.002925,0.00426,0.1797,44.1
45,0.002809,0.001258,0.004068,0.002937,0.004335,0.2031,44.1
46,0.002735,0.001199,0.003934,0.002795,0.003923,0.2344,45.1
47,0.002641,0.001083,0.003724,0.00277,0.003971,0.2422,44.6
48,0.002596,0.001032,0.003629,0.002738,0.003803,0.25,45.3
49,0.002551,0.000991,0.003542,0.002674,0.003711,0.2578,45.2
50,0.002532,0.000982,0.003514,0.002643,0.003655,0.2656,45.2
51,0.002506,0.000955,0.003461,0.002617,0.003593,0.2891,45.7
52,0.00248,0.000931,0.003411,0.002615,0.003568,0.2891,46.3
53,0.002462,0.000928,0.00339,0.002574,0.00353,0.2891,46.3
54,0.002448,0.000925,0.003373,0.002556,0.003484,0.2969,45.3
55,0.002426,0.000922,0.003348,0.002582,0.003513,0.2969,44.5
56,0.002401,0.000907,0.003308,0.002515,0.003439,0.3047,45.4
57,0.002371,0.000897,0.003268,0.002571,0.003502,0.3047,45.0
58,0.002354,0.0009,0.003254,0.002457,0.003366,0.3203,44.4
59,0.002316,0.000874,0.00319,0.002473,0.003344,0.3281,46.1
