epoch,train_ce,val_ce,epoch_time_sec
1,4.958956,4.64385,41.6
2,4.532102,4.383695,40.9
3,4.34541,4.280037,41.2
4,4.274675,4.228765,41.3
5,4.229485,4.188331,41.0
6,4.192532,4.15062,41.2
7,4.157597,4.116156,41.2
8,4.128079,4.091371,41.0
9,4.098268,4.052484,41.1
10,4.063042,4.009944,41.0
11,4.012414,3.942692,40.9
12,3.9577,3.891629,41.0
13,3.916079,3.86775,41.5
14,3.88095,3.830293,40.9
15,3.854264,3.818451,41.0
16,3.831744,3.795027,41.0
17,3.811214,3.784741,40.9
18,3.796378,3.780165,41.0
19,3.780843,3.760658,41.3
20,3.769056,3.756607,41.0
21,3.757026,3.751603,41.1
22,3.747014,3.743515,40.9
23,3.736439,3.738462,41.0
24,3.727218,3.733474,41.1
25,3.71867,3.728583,41.1
26,3.710684,3.726818,41.3
27,3.702585,3.725004,41.2
28,3.693922,3.719681,41.2
29,3.686998,3.717972,41.1
30,3.680234,3.711469,41.6
31,3.673294,3.715207,41.4
32,3.667442,3.708543,41.4
33,3.661076,3.709976,42.7
34,3.654515,3.710344,41.4
35,3.649246,3.706795,42.3
36,3.643786,3.711934,41.3
37,3.63754,3.705084,41.7
38,3.63361,3.705465,41.2
39,3.627377,3.707334,41.1
40,3.623295,3.704429,41.6
41,3.618696,3.704353,41.0
42,3.612299,3.706927,41.0
43,3.608748,3.705245,41.0
44,3.603834,3.704073,41.1
45,3.599881,3.707015,41.1
46,3.596502,3.707893,41.0
47,3.591289,3.708173,41.5
48,3.587426,3.706885,41.2
49,3.582938,3.710188,41.3
50,3.579403,3.70459,41.7
51,3.575705,3.707978,41.1
52,3.572363,3.711012,41.3
53,3.568993,3.714828,42.2
54,3.564876,3.710861,41.5
