epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.036997,0.003534,0.040531,0.014881,0.018423,0.0312,46.0
2,0.012768,0.004144,0.016912,0.012083,0.01716,0.0234,46.7
3,0.011087,0.004548,0.015636,0.010968,0.01671,0.0234,46.3
4,0.010396,0.004917,0.015313,0.0105,0.014813,0.0234,47.1
5,0.009947,0.004926,0.014873,0.010059,0.014426,0.0234,47.9
6,0.009662,0.004824,0.014486,0.009757,0.014648,0.0234,46.6
7,0.009475,0.004873,0.014348,0.009776,0.01444,0.0234,46.7
8,0.0093,0.004898,0.014197,0.008898,0.014392,0.0312,46.2
9,0.007334,0.004173,0.011507,0.006601,0.010053,0.0469,45.5
10,0.006107,0.003691,0.009799,0.006147,0.009276,0.0547,46.1
11,0.005949,0.003616,0.009565,0.005995,0.008976,0.0547,44.8
12,0.005902,0.003496,0.009399,0.006031,0.009179,0.0547,46.0
13,0.005592,0.003388,0.00898,0.005908,0.009012,0.0547,46.7
14,0.005437,0.003287,0.008724,0.005612,0.00923,0.0547,46.5
15,0.00512,0.002674,0.007795,0.005244,0.007414,0.0781,44.5
16,0.004722,0.001946,0.006668,0.004959,0.006946,0.0781,44.7
17,0.004576,0.001795,0.006371,0.004661,0.006366,0.0938,45.1
18,0.004423,0.001532,0.005955,0.004639,0.006207,0.0938,45.3
19,0.004275,0.001373,0.005647,0.004505,0.00594,0.0938,46.8
20,0.004215,0.001369,0.005583,0.004379,0.005906,0.0938,47.6
21,0.004158,0.001381,0.005539,0.004326,0.00572,0.1016,45.9
22,0.004102,0.001283,0.005385,0.00423,0.00545,0.1094,46.1
23,0.003949,0.001132,0.005082,0.004063,0.005178,0.125,46.7
24,0.00383,0.000927,0.004758,0.003983,0.004993,0.1328,46.4
25,0.003743,0.000848,0.004591,0.003895,0.004803,0.1484,46.4
26,0.003703,0.000834,0.004538,0.003797,0.004677,0.1562,47.3
27,0.00356,0.000789,0.004349,0.003656,0.004455,0.1719,47.7
28,0.003451,0.000729,0.004179,0.003596,0.004349,0.1875,46.4
29,0.003347,0.000707,0.004054,0.003452,0.004243,0.1953,47.1
30,0.003211,0.000715,0.003926,0.00334,0.004159,0.2031,46.3
31,0.003133,0.00072,0.003853,0.003292,0.004061,0.2031,46.9
32,0.003075,0.000709,0.003784,0.003224,0.004007,0.2109,46.0
33,0.003021,0.0007,0.003721,0.003148,0.003893,0.2109,46.5
34,0.00298,0.000699,0.00368,0.003115,0.003862,0.2109,46.4
35,0.00295,0.000703,0.003653,0.003098,0.003819,0.2188,46.7
36,0.002934,0.000693,0.003627,0.00309,0.003872,0.2188,46.9
37,0.00291,0.000702,0.003611,0.003071,0.003818,0.2188,46.7
38,0.002895,0.000707,0.003602,0.003054,0.003829,0.2266,46.9
39,0.00285,0.000695,0.003545,0.003013,0.003743,0.2344,47.3
40,0.00283,0.000683,0.003512,0.002959,0.00365,0.2578,46.7
41,0.002777,0.000661,0.003438,0.002916,0.00359,0.2969,45.5
42,0.002691,0.000689,0.00338,0.00284,0.003667,0.3281,46.5
43,0.002593,0.000861,0.003455,0.002692,0.003613,0.3359,45.1
44,0.002474,0.000822,0.003296,0.002606,0.003488,0.3359,46.0
45,0.002453,0.000835,0.003288,0.002576,0.003451,0.3359,46.5
46,0.002431,0.000845,0.003275,0.002547,0.003394,0.3438,47.2
47,0.002406,0.000842,0.003248,0.002548,0.003417,0.3438,47.0
48,0.00238,0.000847,0.003228,0.002493,0.003328,0.3516,47.0
49,0.002355,0.000827,0.003181,0.002513,0.003345,0.3594,46.5
50,0.002336,0.000825,0.003161,0.002438,0.003285,0.3672,47.0
51,0.002305,0.000811,0.003116,0.00242,0.003247,0.375,46.4
52,0.002289,0.000793,0.003082,0.002393,0.003196,0.375,46.5
53,0.002264,0.000793,0.003057,0.002401,0.003225,0.375,45.8
54,0.002251,0.000789,0.00304,0.002353,0.003142,0.3828,45.5
55,0.002241,0.000785,0.003026,0.002358,0.003139,0.3828,45.5
56,0.002228,0.000774,0.003002,0.002387,0.003181,0.3906,46.5
57,0.002211,0.000765,0.002977,0.002325,0.003072,0.3984,46.6
58,0.00221,0.000763,0.002973,0.002319,0.003122,0.4062,47.2
59,0.002194,0.000763,0.002957,0.002357,0.003142,0.4062,47.5
60,0.00218,0.000759,0.002939,0.002288,0.003047,0.4219,47.0
