checkpoint,kimg,truncation_psi,FID
network-snapshot-000000.pkl,0,0.1,357.6046
network-snapshot-000000.pkl,0,0.8,317.2065
network-snapshot-000000.pkl,0,0.85,316.8219
network-snapshot-000000.pkl,0,0.9,317.0639
network-snapshot-000000.pkl,0,0.95,316.7716
network-snapshot-000000.pkl,0,1.0,316.5060
network-snapshot-000200.pkl,200,0.1,303.0210
network-snapshot-000200.pkl,200,0.8,261.7258
network-snapshot-000200.pkl,200,0.85,259.7170
network-snapshot-000200.pkl,200,0.9,257.8219
network-snapshot-000200.pkl,200,0.95,255.6725
network-snapshot-000200.pkl,200,1.0,254.7931
network-snapshot-000400.pkl,400,0.1,293.1978
network-snapshot-000400.pkl,400,0.8,157.2202
network-snapshot-000400.pkl,400,0.85,155.2321
network-snapshot-000400.pkl,400,0.9,153.5311
network-snapshot-000400.pkl,400,0.95,152.4417
network-snapshot-000400.pkl,400,1.0,151.7613
network-snapshot-000600.pkl,600,0.1,118.9666
network-snapshot-000600.pkl,600,0.8,102.8710
network-snapshot-000600.pkl,600,0.85,103.1048
network-snapshot-000600.pkl,600,0.9,104.9090
network-snapshot-000600.pkl,600,0.95,106.2611
network-snapshot-000600.pkl,600,1.0,107.3835
network-snapshot-000800.pkl,800,0.1,127.7204
network-snapshot-000800.pkl,800,0.8,87.6809
network-snapshot-000800.pkl,800,0.85,88.4233
network-snapshot-000800.pkl,800,0.9,89.0835
network-snapshot-000800.pkl,800,0.95,89.8261
network-snapshot-000800.pkl,800,1.0,91.6139
network-snapshot-001000.pkl,1000,0.1,137.9253
network-snapshot-001000.pkl,1000,0.8,74.8241
network-snapshot-001000.pkl,1000,0.85,75.4968
network-snapshot-001000.pkl,1000,0.9,77.0186
network-snapshot-001000.pkl,1000,0.95,78.2114
network-snapshot-001000.pkl,1000,1.0,79.8886
