epoch,train_ce,val_ce,epoch_time_sec
1,5.191391,4.870474,58.9
2,4.78608,4.673064,40.5
3,4.587688,4.494058,40.5
4,4.483142,4.42287,40.6
5,4.423907,4.356664,40.9
6,4.373832,4.323093,40.6
7,4.335484,4.280451,40.8
8,4.297653,4.252431,41.2
9,4.256919,4.190192,42.2
10,4.205706,4.120149,40.8
11,4.143499,4.065225,41.4
12,4.092062,4.021021,40.9
13,4.052084,3.991706,41.0
14,4.018874,3.967849,40.9
15,3.992895,3.945333,40.9
16,3.969886,3.936095,41.2
17,3.95217,3.918817,40.9
18,3.936121,3.911621,40.9
19,3.920715,3.902238,40.8
20,3.908109,3.895007,41.7
21,3.895701,3.885544,40.8
22,3.88508,3.882978,41.0
23,3.876995,3.88067,40.7
24,3.868174,3.872581,40.9
25,3.856875,3.868907,41.1
26,3.848656,3.867235,41.4
27,3.839885,3.866905,41.1
28,3.832976,3.861993,41.3
29,3.826261,3.856121,41.2
30,3.818476,3.859068,41.1
31,3.811324,3.857941,41.1
32,3.804557,3.857432,41.2
33,3.799227,3.857392,41.7
34,3.792613,3.850944,41.1
35,3.787078,3.852185,41.2
36,3.782267,3.853901,41.5
37,3.776392,3.853193,42.5
38,3.772332,3.852428,41.8
39,3.766262,3.851536,41.2
40,3.761823,3.850677,41.2
41,3.756373,3.850774,41.2
42,3.751826,3.857109,41.4
43,3.747922,3.852928,41.2
44,3.742888,3.855425,41.4
45,3.73777,3.858075,41.3
46,3.734905,3.856517,41.5
47,3.730965,3.856734,41.3
48,3.727118,3.85467,40.8
49,3.722793,3.852133,41.2
50,3.719652,3.859067,41.9
