lambda_gp,n_critic,latent_dim,fid,cat_score
5,2,64,219.5374,0.049090
5,2,128,215.6269,0.057432
5,3,64,209.9631,0.062755
5,3,128,219.9700,0.048958
5,5,64,202.8529,0.082293
5,5,128,217.2283,0.060341
10,2,64,197.7986,0.108276
10,2,128,212.3683,0.064231
10,3,64,200.7170,0.094228
10,3,128,196.9733,0.109479
10,5,64,200.9601,0.075003
10,5,128,205.5404,0.049441
15,2,64,209.5242,0.075853
15,2,128,205.6360,0.050153
15,3,64,215.7727,0.051379
15,3,128,204.2906,0.070344
15,5,64,201.9176,0.072260
15,5,128,202.7558,0.044037
