epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-59.195405,-12.63103,82.537964,2.334256,98.4
2,-27.519106,1.84746,31.929095,0.440999,98.8
3,-23.993278,4.505012,27.788296,0.379502,95.1
4,-24.42182,5.97267,28.448573,0.402675,99.1
5,-20.806142,5.133367,24.00416,0.319802,111.7
6,-19.310777,5.297877,22.012093,0.270132,100.3
7,-18.653272,5.33424,21.349301,0.269603,97.6
8,-17.763182,6.183253,20.270144,0.250696,100.1
9,-17.20055,5.843786,19.545695,0.234514,100.6
10,-17.132547,5.31158,19.429099,0.229655,97.7
11,-16.805011,4.541513,19.145306,0.234029,98.5
12,-16.867376,4.681232,19.170287,0.230291,105.8
13,-16.717554,3.800333,19.041295,0.232374,97.1
14,-16.457264,4.137226,18.785329,0.232807,94.7
15,-16.083377,4.227542,18.319528,0.223615,100.9
16,-16.022595,3.848958,18.243715,0.222112,100.4
17,-15.651402,3.933347,17.750267,0.209887,98.4
18,-15.460736,4.297564,17.538224,0.207749,95.4
19,-15.014444,3.599395,16.998576,0.198413,95.4
20,-14.67606,4.136079,16.595265,0.19192,96.5
21,-14.695671,3.572882,16.619431,0.192376,97.4
22,-14.585727,3.593977,16.544605,0.195888,97.9
23,-14.423577,3.650492,16.339052,0.191547,97.4
24,-14.526421,3.151488,16.466466,0.194004,106.3
25,-14.373473,3.305474,16.284016,0.191054,98.3
26,-14.367879,2.936957,16.256988,0.188911,96.2
27,-14.209177,2.899441,16.110761,0.190158,100.6
28,-14.311529,2.317905,16.228537,0.191701,115.4
29,-14.018792,2.490685,15.8736,0.185481,100.8
30,-13.898448,2.463398,15.718136,0.181969,101.2
31,-14.004742,2.294149,15.830232,0.182549,100.1
32,-13.932661,2.498336,15.735391,0.180273,96.1
33,-13.773666,2.283413,15.591684,0.181802,98.5
34,-13.876592,1.997878,15.710496,0.18339,100.3
35,-13.650258,2.011247,15.438164,0.178791,100.0
36,-13.758623,2.392272,15.596219,0.18376,101.6
37,-13.681161,1.774811,15.495967,0.181481,99.4
38,-13.851415,2.511624,15.647732,0.179632,97.0
39,-13.691737,1.554024,15.478797,0.178706,99.9
40,-13.821566,2.531891,15.636877,0.181531,100.8
41,-13.821581,1.958579,15.695919,0.187434,95.2
42,-13.830952,1.568541,15.656537,0.182559,101.7
43,-13.921159,2.211848,15.809214,0.188806,96.2
44,-13.773901,2.190686,15.621118,0.184722,99.8
45,-14.061561,1.76509,15.959333,0.189777,97.6
46,-13.896326,1.757533,15.75082,0.185449,98.6
47,-14.081764,2.030702,15.976018,0.189425,99.8
48,-14.240181,1.542339,16.120412,0.188023,97.4
49,-14.133986,1.917396,16.047377,0.191339,98.4
50,-14.126203,1.645602,16.012342,0.188614,99.7
